"","region","region_code","geography","year","P","G","E","F","g","e","f","ef","G_ppp","G_mer"
"4884","Middle East",NA,"region",1983,0.103626399,0.744059631923047,6.62630648333703,450.298648889133,7.18021314166332,8.90561212978471,67.956206073698,605.191613104074,NA,0.744059631923047
"4885","Middle East",NA,"region",1984,0.107701373,0.719960447149517,7.48650927476917,505.109021843922,6.68478429842781,10.3985007848833,67.4692307596849,701.578849010055,NA,0.719960447149517
"4886","Middle East",NA,"region",1985,0.111843617,0.704516304781145,7.96085836599705,538.040127845232,6.29911946410983,11.2997503563385,67.5856927870172,763.701456153484,NA,0.704516304781145
"4887","Middle East",NA,"region",1986,0.11601019,0.706713563913078,8.31609768407386,545.93442783175,6.09182317443906,11.7672818362613,65.6479094608602,772.497452587307,NA,0.706713563913078
"4888","Middle East",NA,"region",1987,0.120201931,0.705330774629986,8.89723725431104,582.277400843172,5.86788222753248,12.6142762719782,65.444742474529,825.538062122176,NA,0.705330774629986
"4889","Middle East",NA,"region",1988,0.124370718,0.737374532449956,9.45186644284815,615.538444886936,5.92884357594491,12.8182708066197,65.1234810192107,834.770415574002,NA,0.737374532449956
"4890","Middle East",NA,"region",1989,0.128462894,0.754994338742378,9.96191506501372,648.059452396601,5.87713942317365,13.1946884285353,65.0537018401801,858.363326904011,NA,0.754994338742378
"4891","Middle East",NA,"region",1990,0.134481005,0.888430049984869,10.2933425548865,679.033045874089,6.6063608759086,11.5859909905815,65.9681772226392,764.30670696658,1.7318724033306,0.888430049984869
"4892","Middle East",NA,"region",1991,0.138624933,0.932252316785625,10.7502479177951,717.13440651929,6.72499742009344,11.5314788971097,66.7086389079643,769.249261822105,1.83091308059733,0.932252316785625
"4893","Middle East",NA,"region",1992,0.140617709,1.02596813851894,11.7253433292996,768.651675906257,7.29615171385663,11.4285647761206,65.5547265712494,749.196439000395,1.99313597589222,1.02596813851894
