"","region","region_code","geography","year","P","G","E","F","g","e","f","ef"
"53","Belarus","BLR","nation",2035,0.00923820279688312,0.0977557747405553,0.944089581236665,52.1879320161632,10.5816874656115,9.65763489412556,55.2785806065163,533.860348963225
"54","Belarus","BLR","nation",2040,0.00913467971324675,0.109411037712192,0.965069349708591,52.6310420172994,11.9775450422776,8.82058492349944,54.5360206841007,481.039601833832
"55","Belarus","BLR","nation",2045,0.00903115662961039,0.121473484053255,0.986049118180517,53.0428736654141,13.4504902345487,8.1174021299021,53.7933381688837,436.662157826641
"56","Belarus","BLR","nation",2050,0.00892270387532467,0.134887432641771,1.02276371300639,53.8665369616437,15.1173270486759,7.58234991188989,52.6676262333402,399.344371129817
"57","Belgium","BEL","nation",2015,0.011274196,0.513013709008398,2.31176056494479,118.284725650055,45.5033519914323,4.50623545599431,51.1665124164272,230.568352410478
"58","Belgium","BEL","nation",2020,0.0115316429488846,0.555033619414987,2.33203916639168,120.265335623355,48.1313566397468,4.20161785667989,51.5708901276472,216.681172845199
"59","Belgium","BEL","nation",2025,0.0116742289513438,0.59965692322165,2.34652388171088,116.935703377218,51.3658697050503,3.91311063183296,49.8335875840134,195.004341397382
"60","Belgium","BEL","nation",2030,0.0117851291754787,0.641459019837794,2.40446274298769,116.448215783171,54.4295281185784,3.74842767601227,48.4300354092726,181.536485078372
"61","Belgium","BEL","nation",2035,0.0118742454270156,0.683271488539197,2.45660771813682,119.652143681157,57.5423080766594,3.59536108171136,48.7062475615379,175.116546918952
"62","Belgium","BEL","nation",2040,0.0119336562613736,0.725405491883637,2.526134351669,122.276605193766,60.7865247662278,3.48237555399459,48.4046326011831,168.563109270449
"63","Belgium","BEL","nation",2045,0.0119594009562621,0.766421903041392,2.57248544069045,125.609303399613,64.0853087746076,3.35648737396733,48.8279938975671,163.890545013338
"64","Belgium","BEL","nation",2050,0.0119475187893905,0.814955482990798,2.6478059603503,130.628279446507,68.2112744375415,3.24901913738054,49.3345363680746,160.28885279367
"65","Brazil","BRA","nation",2015,0.204471769,2.33734837841064,11.5950466530096,487.040178278384,11.4311544808449,4.96076954557116,42.004158573348,208.372950638006
"66","Brazil","BRA","nation",2020,0.21270619734886,2.47192537245615,11.5172275479559,474.61929046411,11.6213133574192,4.65921329029126,41.2095088412443,192.003891279501
"67","Brazil","BRA","nation",2025,0.219849315916545,2.80828897304822,12.8401523338697,518.748786194497,12.7736989371131,4.57223329119601,40.4005164974673,184.720586511233
